data,ora,open,high,low,close,volume
2020.04.14,00:00,1.25094,1.26470,1.25029,1.26243,237536
2020.04.15,00:00,1.26243,1.26304,1.24365,1.25254,230040
2020.04.16,00:00,1.25259,1.25269,1.24075,1.24807,272592
2020.04.17,00:00,1.24803,1.25219,1.24065,1.24939,284244
2020.04.20,00:00,1.24992,1.24992,1.24162,1.24400,203444
2020.04.21,00:00,1.24400,1.24435,1.22469,1.22967,245988
2020.04.22,00:00,1.22968,1.23856,1.22742,1.23275,187080
2020.04.23,00:00,1.23317,1.24146,1.23076,1.23453,226648
2020.04.24,00:00,1.23453,1.23769,1.22978,1.23654,199324
2020.04.27,00:00,1.23659,1.24543,1.23593,1.24252,155284
2020.04.28,00:00,1.24264,1.25180,1.24034,1.24227,158072
2020.04.29,00:00,1.24229,1.24851,1.23886,1.24680,162164
2020.04.30,00:00,1.24679,1.26429,1.24284,1.25940,218856
2020.05.01,00:00,1.25945,1.26000,1.24828,1.24869,171196
2020.05.04,00:00,1.24816,1.24840,1.24050,1.24397,166196
2020.05.05,00:00,1.24398,1.24835,1.24200,1.24416,166388
2020.05.06,00:00,1.24417,1.24498,1.23348,1.23433,230344
2020.05.07,00:00,1.23431,1.24181,1.22657,1.23595,196768
2020.05.08,00:00,1.23542,1.24667,1.23542,1.24033,128900
2020.05.11,00:00,1.23960,1.24372,1.22828,1.23344,192600
2020.05.12,00:00,1.23345,1.23778,1.22550,1.22675,201604
2020.05.13,00:00,1.22675,1.23396,1.22096,1.22339,227356
2020.05.14,00:00,1.22340,1.22415,1.21653,1.22302,212372
2020.05.15,00:00,1.22302,1.22385,1.20998,1.21003,208668
2020.05.18,00:00,1.20791,1.22271,1.20787,1.21976,202320
2020.05.19,00:00,1.21969,1.22961,1.21834,1.22435,197408
2020.05.20,00:00,1.22437,1.22874,1.22210,1.22366,171480
2020.05.21,00:00,1.22366,1.22494,1.21853,1.22229,171164
2020.05.22,00:00,1.22229,1.22334,1.21613,1.21665,157044
2020.05.25,00:00,1.21707,1.22032,1.21635,1.21829,168088
2020.05.26,00:00,1.21825,1.23628,1.21781,1.23329,200480
2020.05.27,00:00,1.23325,1.23538,1.22043,1.22602,266452
2020.05.28,00:00,1.22602,1.23443,1.22335,1.23212,225956
2020.05.29,00:00,1.23213,1.23939,1.22903,1.23454,293500
2020.06.01,00:00,1.23401,1.25065,1.23270,1.24917,211100
2020.06.02,00:00,1.24918,1.25757,1.24782,1.25485,230796
2020.06.03,00:00,1.25482,1.26149,1.25447,1.25751,324828
2020.06.04,00:00,1.25750,1.26330,1.25004,1.25897,361964
2020.06.05,00:00,1.25902,1.27309,1.25825,1.26656,351856
2020.06.08,00:00,1.26801,1.27357,1.26276,1.27220,240856
2020.06.09,00:00,1.27219,1.27554,1.26180,1.27280,297320
2020.06.10,00:00,1.27277,1.28127,1.27059,1.27464,412796
2020.06.11,00:00,1.27464,1.27538,1.25860,1.25987,469808
2020.06.12,00:00,1.25992,1.26530,1.24734,1.25396,466856
2020.06.15,00:00,1.25121,1.26214,1.24540,1.26143,436120
2020.06.16,00:00,1.26143,1.26871,1.25523,1.25654,474416
2020.06.17,00:00,1.25654,1.25885,1.25105,1.25527,365464
2020.06.18,00:00,1.25532,1.25666,1.24013,1.24200,353736
2020.06.19,00:00,1.24195,1.24556,1.23424,1.23476,284304
2020.06.22,00:00,1.23538,1.24766,1.23350,1.24685,273784
2020.06.23,00:00,1.24687,1.25317,1.24317,1.25115,316228
2020.06.24,00:00,1.25115,1.25425,1.24130,1.24238,343724
2020.06.25,00:00,1.24236,1.24639,1.23886,1.24194,282196
2020.06.26,00:00,1.24194,1.24365,1.23142,1.23343,214248
2020.06.29,00:00,1.23357,1.23892,1.22514,1.22985,208196
2020.06.30,00:00,1.22984,1.24015,1.22573,1.23968,241032
2020.07.01,00:00,1.23971,1.24902,1.23592,1.24771,232732
2020.07.02,00:00,1.24771,1.25298,1.24560,1.24661,216980
2020.07.03,00:00,1.24660,1.24879,1.24377,1.24798,198412
2020.07.06,00:00,1.24741,1.25201,1.24696,1.24899,188804
2020.07.07,00:00,1.24899,1.25921,1.24622,1.25496,216176
2020.07.08,00:00,1.25498,1.26230,1.25084,1.26111,212288
2020.07.09,00:00,1.26110,1.26691,1.25997,1.26039,229548
2020.07.10,00:00,1.26039,1.26638,1.25666,1.26202,206156
2020.07.13,00:00,1.26230,1.26660,1.25500,1.25564,194044
2020.07.14,00:00,1.25564,1.25633,1.24797,1.25538,368080
2020.07.15,00:00,1.25538,1.26493,1.25538,1.25874,233100
2020.07.16,00:00,1.25875,1.26248,1.25196,1.25516,270044
2020.07.17,00:00,1.25513,1.25742,1.25115,1.25654,139688
2020.07.20,00:00,1.25581,1.26652,1.25178,1.26564,180100
2020.07.21,00:00,1.26567,1.27679,1.26499,1.27199,203568
2020.07.22,00:00,1.27199,1.27435,1.26436,1.27272,256508
2020.07.23,00:00,1.27273,1.27598,1.26726,1.27332,247836
2020.07.24,00:00,1.27337,1.28033,1.27168,1.27926,226804
2020.07.27,00:00,1.27890,1.29028,1.27843,1.28824,256092
2020.07.28,00:00,1.28832,1.29525,1.28379,1.29297,235000
2020.07.29,00:00,1.29297,1.30133,1.29116,1.29982,249836
2020.07.30,00:00,1.29982,1.31025,1.29441,1.30900,279512
2020.07.31,00:00,1.30900,1.31699,1.30701,1.30836,333360
2020.08.03,00:00,1.30816,1.31124,1.30044,1.30730,303180
2020.08.04,00:00,1.30741,1.31078,1.29809,1.30640,217200
2020.08.05,00:00,1.30645,1.31612,1.30575,1.31131,240996
2020.08.06,00:00,1.31133,1.31855,1.31130,1.31410,325316
2020.08.07,00:00,1.31410,1.31472,1.30092,1.30509,271668
2020.08.10,00:00,1.30542,1.31031,1.30187,1.30690,256332
2020.08.11,00:00,1.30694,1.31316,1.30412,1.30499,268992
2020.08.12,00:00,1.30498,1.30674,1.30050,1.30318,273500
2020.08.13,00:00,1.30318,1.31246,1.30295,1.30647,230160
2020.08.14,00:00,1.30648,1.31423,1.30479,1.30829,200816
2020.08.17,00:00,1.30988,1.31216,1.30738,1.31036,182144
2020.08.18,00:00,1.31036,1.32497,1.31010,1.32375,255836
2020.08.19,00:00,1.32376,1.32671,1.30910,1.31087,276844
2020.08.20,00:00,1.31088,1.32243,1.30641,1.32144,283480
2020.08.21,00:00,1.32144,1.32549,1.30588,1.30881,356064
2020.08.24,00:00,1.30882,1.31489,1.30532,1.30630,223308
2020.08.25,00:00,1.30631,1.31703,1.30585,1.31459,235760
2020.08.26,00:00,1.31458,1.32186,1.31168,1.32058,219808
2020.08.27,00:00,1.32061,1.32844,1.31606,1.32020,377100
2020.08.28,00:00,1.32026,1.33562,1.31858,1.33488,320384
2020.08.31,00:00,1.33489,1.33952,1.33008,1.33667,712980
2020.09.01,00:00,1.33672,1.34821,1.33560,1.33747,398276
2020.09.02,00:00,1.33856,1.34022,1.32829,1.33508,326732
2020.09.03,00:00,1.33510,1.33585,1.32421,1.32750,326748
2020.09.04,00:00,1.32751,1.33187,1.31756,1.32782,347480
2020.09.07,00:00,1.32514,1.32590,1.31401,1.31617,209996
2020.09.08,00:00,1.31618,1.31680,1.29741,1.29755,333992
2020.09.09,00:00,1.29758,1.30231,1.28845,1.29945,330040
2020.09.10,00:00,1.29947,1.30347,1.27731,1.27999,433636
2020.09.11,00:00,1.28004,1.28654,1.27621,1.27942,283344
2020.09.14,00:00,1.27901,1.29191,1.27898,1.28469,209916
2020.09.15,00:00,1.28465,1.29260,1.28143,1.28883,230360
2020.09.16,00:00,1.28883,1.30070,1.28748,1.29666,275560
2020.09.17,00:00,1.29667,1.29986,1.28645,1.29683,379064
2020.09.18,00:00,1.29682,1.29996,1.29139,1.29143,255196
2020.09.21,00:00,1.29295,1.29663,1.27750,1.28113,321200
2020.09.22,00:00,1.28117,1.28669,1.27105,1.27346,326088
2020.09.23,00:00,1.27354,1.27768,1.26748,1.27225,314620
2020.09.24,00:00,1.27225,1.27810,1.26903,1.27473,337488
2020.09.25,00:00,1.27473,1.28054,1.26871,1.27395,235660
2020.09.28,00:00,1.27605,1.29298,1.27508,1.28359,252640
2020.09.29,00:00,1.28371,1.29026,1.28222,1.28581,270024
2020.09.30,00:00,1.28581,1.29424,1.28052,1.29162,331128
2020.10.01,00:00,1.29165,1.29782,1.28191,1.28778,326128
2020.10.02,00:00,1.28823,1.29537,1.28365,1.29274,364532
2020.10.05,00:00,1.29145,1.29911,1.28994,1.29740,227068
2020.10.06,00:00,1.29746,1.30070,1.28662,1.28762,306060
2020.10.07,00:00,1.28762,1.29293,1.28450,1.29158,276516
2020.10.08,00:00,1.29154,1.29700,1.28908,1.29268,223976
2020.10.09,00:00,1.29270,1.30486,1.29208,1.30433,220804
2020.10.12,00:00,1.30272,1.30825,1.30051,1.30619,185000
2020.10.13,00:00,1.30621,1.30677,1.29215,1.29336,246480
2020.10.14,00:00,1.29335,1.30641,1.28623,1.30094,264080
2020.10.15,00:00,1.30112,1.30297,1.28901,1.29042,253208
2020.10.16,00:00,1.29040,1.29619,1.28618,1.29082,333388
2020.10.19,00:00,1.29064,1.30240,1.29027,1.29403,291476
2020.10.20,00:00,1.29403,1.29796,1.29110,1.29423,224456
2020.10.21,00:00,1.29423,1.31766,1.29423,1.31428,406932
2020.10.22,00:00,1.31454,1.31512,1.30702,1.30809,715456
2020.10.23,00:00,1.30809,1.31223,1.30187,1.30391,545732
2020.10.26,00:00,1.30421,1.30745,1.29925,1.30156,825168
2020.10.27,00:00,1.30156,1.30794,1.30008,1.30262,536352
2020.10.28,00:00,1.30269,1.30632,1.29162,1.29862,493080
2020.10.29,00:00,1.29862,1.30254,1.28804,1.29273,504368
2020.10.30,00:00,1.29275,1.29879,1.28987,1.29472,501660
2020.11.02,00:00,1.29332,1.29424,1.28538,1.29139,416620
2020.11.03,00:00,1.29125,1.30786,1.29125,1.30713,297240
2020.11.04,00:00,1.30713,1.31397,1.29140,1.29376,908880
2020.11.05,00:00,1.29375,1.31567,1.29333,1.31402,669112
2020.11.06,00:00,1.31402,1.31769,1.30922,1.31477,678256
2020.11.09,00:00,1.31624,1.32078,1.31179,1.31583,890512
2020.11.10,00:00,1.31588,1.32778,1.31554,1.32687,600804
2020.11.11,00:00,1.32680,1.33132,1.31908,1.32207,291844
2020.11.12,00:00,1.32214,1.32281,1.31061,1.31161,253228
2020.11.13,00:00,1.31159,1.31996,1.31088,1.31983,198628
2020.11.16,00:00,1.31855,1.32420,1.31652,1.31927,201712
2020.11.17,00:00,1.31927,1.32725,1.31927,1.32619,173636
2020.11.18,00:00,1.32619,1.33121,1.32435,1.32671,146676
2020.11.19,00:00,1.32667,1.32787,1.31957,1.32502,203048
2020.11.20,00:00,1.32501,1.32975,1.32465,1.32817,166416
2020.11.23,00:00,1.32965,1.33975,1.32633,1.33224,175536
2020.11.24,00:00,1.33234,1.33801,1.32927,1.33558,191188
2020.11.25,00:00,1.33557,1.33931,1.33038,1.33813,181784
2020.11.26,00:00,1.33811,1.33975,1.33217,1.33548,131928
2020.11.27,00:00,1.33540,1.33814,1.32875,1.33068,194072
2020.11.30,00:00,1.33247,1.33846,1.33048,1.33279,213200
2020.12.01,00:00,1.33279,1.34420,1.33153,1.34255,199796
2020.12.02,00:00,1.34256,1.34409,1.32872,1.33719,217764
2020.12.03,00:00,1.33713,1.34997,1.33528,1.34495,232148
2020.12.04,00:00,1.34508,1.35391,1.34098,1.34332,272936
2020.12.07,00:00,1.34176,1.34373,1.32243,1.33710,252584
2020.12.08,00:00,1.33719,1.33932,1.32896,1.33579,251112
2020.12.09,00:00,1.33589,1.34778,1.33235,1.33590,207744
2020.12.10,00:00,1.33595,1.33894,1.32450,1.33011,237344
2020.12.11,00:00,1.33008,1.33239,1.31339,1.32203,229588
2020.12.14,00:00,1.33256,1.34451,1.32897,1.33267,182280
2020.12.15,00:00,1.33268,1.34688,1.32798,1.34496,215340
2020.12.16,00:00,1.34501,1.35545,1.34339,1.35007,158868
2020.12.17,00:00,1.35008,1.36244,1.34948,1.35849,113936
2020.12.18,00:00,1.35839,1.35848,1.34712,1.35142,143216
2020.12.21,00:00,1.34305,1.34995,1.31875,1.34489,213644
2020.12.22,00:00,1.34489,1.34692,1.33036,1.33612,184072
2020.12.23,00:00,1.33600,1.35704,1.33599,1.34965,212072
2020.12.24,00:00,1.34972,1.36188,1.34960,1.35674,238576
2020.12.25,00:00,1.35641,1.35870,1.35300,1.35408,1796
2020.12.28,00:00,1.35496,1.35753,1.34290,1.34500,137928
2020.12.29,00:00,1.34500,1.35224,1.34474,1.35001,169600
2020.12.30,00:00,1.35016,1.36253,1.34927,1.36126,185064
2020.12.31,00:00,1.36119,1.36859,1.36037,1.36630,214216
2021.01.04,00:00,1.36589,1.37039,1.35412,1.35738,186952
2021.01.05,00:00,1.35738,1.36417,1.35540,1.36194,153736
2021.01.06,00:00,1.36194,1.36707,1.35384,1.36071,194184
2021.01.07,00:00,1.36092,1.36330,1.35325,1.35602,148792
2021.01.08,00:00,1.35614,1.36356,1.35378,1.35621,153368
2021.01.11,00:00,1.35582,1.35654,1.34503,1.35067,123252
2021.01.12,00:00,1.35068,1.36700,1.35040,1.36622,111748
2021.01.13,00:00,1.36621,1.37009,1.36113,1.36385,117696
2021.01.14,00:00,1.36384,1.37107,1.36160,1.36869,116508
2021.01.15,00:00,1.36875,1.36977,1.35721,1.35769,107072
2021.01.18,00:00,1.35847,1.35983,1.35193,1.35799,86952
2021.01.19,00:00,1.35800,1.36363,1.35777,1.36330,87680
2021.01.20,00:00,1.36330,1.37186,1.36230,1.36529,89524
2021.01.21,00:00,1.36527,1.37456,1.36517,1.37307,93548
2021.01.22,00:00,1.37310,1.37359,1.36355,1.36784,83872
